Celan Date,Quarter,Product ID,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit/Sales
06.01.2014,2014-Q1,OFF-PA-10004082,247,CA-2014-131926,06.01.2014,6/6/2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,6,0,23.94,
06.01.2014,2014-Q1,OFF-AP-10002945,248,CA-2014-131926,06.01.2014,6/6/2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,0,"4.960.725,00",
06.01.2014,2014-Q1,OFF-PA-10000061,249,CA-2014-131926,06.01.2014,6/6/2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,Xerox 205,25.92,4,0,"919.287,00",
06.01.2014,2014-Q1,OFF-BI-10001072,307,CA-2014-111003,06.01.2014,6/6/2014,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48,3,0,"209.208,00",
06.01.2014,2014-Q1,OFF-AR-10002135,308,CA-2014-111003,06.01.2014,6/6/2014,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2,6,0,"83.868,00",
06.01.2014,2014-Q1,FUR-FU-10001935,2201,US-2014-165659,06.01.2014,6/6/2014,Standard Class,LT-17110,Liz Thompson,Consumer,United States,Little Rock,Arkansas,72209,South,Furniture,Furnishings,3M Hangers With Command Adhesive,"46.075,00",6,0,"9.102,00",
06.01.2014,2014-Q1,TEC-PH-10002563,2202,US-2014-165659,06.01.2014,6/6/2014,Standard Class,LT-17110,Liz Thompson,Consumer,United States,Little Rock,Arkansas,72209,South,Technology,Phones,Adtran 1202752G1,881.93,7,0,"2.293.018,00",
06.01.2014,2014-Q1,OFF-BI-10001765,9150,US-2014-157070,06.01.2014,6/6/2014,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,138.56,4,0,"665.088,00",
06.01.2014,2014-Q1,OFF-AP-10004859,9151,US-2014-157070,06.01.2014,6/6/2014,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,65.52,5,0.1,"12.376,00",
07.01.2014,2014-Q1,OFF-BI-10003355,716,CA-2014-153150,07.01.2014,7/6/2014,Second Class,Dl-13600,Dorris liebe,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,19.92,5,0.2,"6.972,00",
07.01.2014,2014-Q1,TEC-PH-10004586,1319,CA-2014-160773,07.01.2014,7/5/2014,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725,South,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,575.92,2,0.2,71.99,
07.01.2014,2014-Q1,OFF-BI-10000546,1320,CA-2014-160773,07.01.2014,7/5/2014,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725,South,Office Supplies,Binders,Avery Durable Binders,"5.184,00",6,0.7,"-36.288,00",
08.01.2014,2014-Q1,OFF-LA-10000240,1838,CA-2014-117345,08.01.2014,8/5/2014,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,"17.544,00",3,0.2,"2.670.410,00",
08.01.2014,2014-Q1,FUR-FU-10000629,1839,CA-2014-117345,08.01.2014,8/5/2014,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,"44.128,00",4,0.2,"-199.816,00",
08.01.2014,2014-Q1,OFF-AP-10001005,1840,CA-2014-117345,08.01.2014,8/5/2014,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,62.92,1,0.2,"126.284,00",
08.01.2014,2014-Q1,OFF-PA-10002377,1841,CA-2014-117345,08.01.2014,8/5/2014,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Paper,Xerox 1916,"78.304,00",2,0.2,"29.364,00",
08.01.2014,2014-Q1,OFF-BI-10004506,2173,CA-2014-152296,08.01.2014,8/3/2014,First Class,IL-15100,Ivan Liston,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,"19.752,00",3,0.2,"2.641.587,00",
08.01.2014,2014-Q1,OFF-FA-10000992,2411,CA-2014-162684,08.01.2014,8/6/2014,Standard Class,AS-10630,Ann Steele,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",5.68,2,0.2,"1.917,00",
09.01.2014,2014-Q1,OFF-AR-10004042,1162,CA-2014-126522,09.01.2014,9/5/2014,Second Class,LT-16765,Larry Tron,Consumer,United States,Escondido,California,92025,West,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3,0,"156.426,00",
09.01.2014,2014-Q1,OFF-BI-10002949,3194,CA-2014-165428,09.01.2014,9/4/2014,First Class,JL-15130,Jack Lebron,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Binders,Prestige Round Ring Binders,"3.648,00",3,0.8,"-60.192,00",
09.01.2014,2014-Q1,OFF-PA-10004100,3195,CA-2014-165428,09.01.2014,9/4/2014,First Class,JL-15130,Jack Lebron,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Paper,Xerox 216,"31.104,00",6,0.2,"2.543.825,00",
09.01.2014,2014-Q1,OFF-BI-10004716,8242,CA-2014-109855,09.01.2014,9/5/2014,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,"23.744,00",2,0.2,"439.966,00",
09.01.2014,2014-Q1,TEC-AC-10002842,8243,CA-2014-109855,09.01.2014,9/5/2014,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,"357,00",3,0,57.12,
10.01.2014,2014-Q1,OFF-FA-10000254,8706,US-2014-132745,10.01.2014,10/5/2014,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Reno,Nevada,89502,West,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance,4.71,1,0,"0,00",
11.01.2014,2014-Q1,OFF-AR-10001897,806,CA-2014-134313,11.01.2014,11/7/2014,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,"43.176,00",3,0.2,"466.142,00",
11.01.2014,2014-Q1,TEC-PH-10001795,807,CA-2014-134313,11.01.2014,11/7/2014,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Denver,Colorado,80219,West,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,"1.983.968,00",4,0.2,"247.996,00",
11.01.2014,2014-Q1,OFF-ST-10001128,2832,CA-2014-148915,11.01.2014,11/5/2014,Standard Class,ND-18370,Natalie DeCherney,Consumer,United States,Portland,Oregon,97206,West,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",443.92,5,0.2,"-94.333,00",
11.01.2014,2014-Q1,TEC-PH-10000673,2833,CA-2014-148915,11.01.2014,11/5/2014,Standard Class,ND-18370,Natalie DeCherney,Consumer,United States,Portland,Oregon,97206,West,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,"155.976,00",3,0.2,"545.916,00",
11.01.2014,2014-Q1,OFF-FA-10003021,4066,CA-2014-102673,11.01.2014,11/5/2014,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Fasteners,Staples,7.52,5,0.2,1.41,
11.01.2014,2014-Q1,OFF-AR-10000634,4067,CA-2014-102673,11.01.2014,11/5/2014,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,Newell 320,"10.272,00",3,0.2,"8.988,00",
11.01.2014,2014-Q1,OFF-LA-10001771,4068,CA-2014-102673,11.01.2014,11/5/2014,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Labels,Avery 513,"47.808,00",12,0.2,"155.376,00",
11.01.2014,2014-Q1,TEC-PH-10004434,4069,CA-2014-102673,11.01.2014,11/5/2014,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,North Carolina,28205,South,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,978.84,9,0.2,"1.101.195,00",
11.01.2014,2014-Q1,OFF-PA-10000533,4159,CA-2014-126907,11.01.2014,11/8/2014,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,"15.696,00",3,0.2,"-324.213,00",
11.01.2014,2014-Q1,OFF-ST-10000464,4828,CA-2014-152562,11.01.2014,11/8/2014,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",69.52,2,0,"194.656,00",
11.01.2014,2014-Q1,OFF-AR-10001919,4829,CA-2014-152562,11.01.2014,11/8/2014,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",5.64,3,0,"1.627.522,00",
11.01.2014,2014-Q1,OFF-LA-10003498,5896,CA-2014-168305,11.01.2014,11/8/2014,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,Labels,Avery 475,44.4,3,0,"46.075,00",
11.01.2014,2014-Q1,OFF-PA-10004947,5897,CA-2014-168305,11.01.2014,11/8/2014,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,Paper,Easy-staple paper,"46.133,00",5,0,9.63,
11.01.2014,2014-Q1,OFF-AP-10002518,7559,US-2014-137155,11.01.2014,11/5/2014,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,533.94,3,0,"1.548.426,00",
11.01.2014,2014-Q1,OFF-PA-10000806,7560,US-2014-137155,11.01.2014,11/5/2014,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Paper,Xerox 1934,167.94,3,0,"822.906,00",
11.01.2014,2014-Q1,FUR-FU-10003142,7561,US-2014-137155,11.01.2014,11/5/2014,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Long Beach,New York,11561,East,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",31.68,6,0,"2.304.195,00",
11.01.2014,2014-Q1,OFF-AP-10004708,8389,CA-2014-139423,11.01.2014,11/5/2014,Standard Class,DG-13300,Deirdre Greer,Corporate,United States,Orange,New Jersey,7050,East,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2,0,"220.748,00",
11.01.2014,2014-Q1,FUR-FU-10002253,9869,CA-2014-114195,11.01.2014,11/3/2014,First Class,EA-14035,Erin Ashbrook,Corporate,United States,Mason,Ohio,45040,East,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock","68.704,00",2,0.2,"163.172,00",
11.01.2014,2014-Q1,OFF-BI-10000494,9870,CA-2014-114195,11.01.2014,11/3/2014,First Class,EA-14035,Erin Ashbrook,Corporate,United States,Mason,Ohio,45040,East,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,"3.132,00",2,0.7,-2.61,
11.01.2014,2014-Q1,OFF-BI-10001658,9871,CA-2014-114195,11.01.2014,11/3/2014,First Class,EA-14035,Erin Ashbrook,Corporate,United States,Mason,Ohio,45040,East,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,"22.428,00",3,0.7,"-179.424,00",
12.01.2014,2014-Q1,FUR-CH-10001854,1792,CA-2014-120474,12.01.2014,12/3/2014,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,Wisconsin,53711,Central,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807.84,8,0,"6.738.816,00",
12.01.2014,2014-Q1,OFF-AR-10000475,1793,CA-2014-120474,12.01.2014,12/3/2014,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",46.64,4,0,"1.471.533,00",
12.01.2014,2014-Q1,FUR-FU-10001861,2076,CA-2014-131051,12.01.2014,12/5/2014,Standard Class,TR-21325,Toby Ritter,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.2,3,0,"28.518,00",
12.01.2014,2014-Q1,TEC-PH-10001644,3199,CA-2014-131527,12.01.2014,12/7/2014,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Phones,"BlueLounge Milo Smartphone Stand, White/Metallic","95.968,00",4,0.2,"1.486.052,00",
12.01.2014,2014-Q1,TEC-CO-10001571,4492,CA-2014-150798,12.01.2014,12/3/2014,Second Class,JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,Technology,Copiers,Sharp 1540cs Digital Laser Copier,"659.988,00",2,0.4,"109.998,00",
12.01.2014,2014-Q1,FUR-FU-10000221,4493,CA-2014-150798,12.01.2014,12/3/2014,Second Class,JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Furnishings,"Master Caster Door Stop, Brown","8.128,00",2,0.2,"848.825,00",
12.01.2014,2014-Q1,OFF-PA-10001972,4494,CA-2014-150798,12.01.2014,12/3/2014,Second Class,JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,Xerox 214,"36.288,00",7,0.2,"1.865.995,00",
12.01.2014,2014-Q1,FUR-CH-10000015,4495,CA-2014-150798,12.01.2014,12/3/2014,Second Class,JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,909.72,6,0.3,"-51.984,00",
12.01.2014,2014-Q1,FUR-CH-10003746,4905,US-2014-161613,12.01.2014,12/3/2014,Second Class,MC-17605,Matt Connell,Corporate,United States,Houston,Texas,77070,Central,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,"674.058,00",3,0.3,"-192.588,00",
12.01.2014,2014-Q1,TEC-PH-10004434,8004,CA-2014-143210,12.01.2014,12/3/2014,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,271.9,2,0,"78.851,00",
12.01.2014,2014-Q1,FUR-FU-10003878,8005,CA-2014-143210,12.01.2014,12/3/2014,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",45.84,3,0,"155.856,00",
12.01.2014,2014-Q1,FUR-FU-10002268,8006,CA-2014-143210,12.01.2014,12/3/2014,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,Furniture,Furnishings,Ultra Door Push Plate,9.82,2,0,"184.874,00",
13.01.2014,2014-Q1,OFF-EN-10001990,764,CA-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Office Supplies,Envelopes,Staple envelope,11.36,2,0,"545.065,00",
13.01.2014,2014-Q1,OFF-EN-10001532,765,CA-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0,25.47,
13.01.2014,2014-Q1,TEC-AC-10003174,766,CA-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0,"258.696,00",
13.01.2014,2014-Q1,OFF-BI-10004187,767,CA-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Office Supplies,Binders,3-ring staple pack,5.64,3,0,"1.889.067,00",
13.01.2014,2014-Q1,OFF-ST-10000025,768,CA-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0,"343.548,00",
13.01.2014,2014-Q1,FUR-CH-10000422,2979,CA-2014-109232,1/13/2014,1/16/2014,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0,"873.504,00",
13.01.2014,2014-Q1,OFF-ST-10000078,4938,CA-2014-157147,1/13/2014,1/18/2014,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0,"238.653,00",
13.01.2014,2014-Q1,FUR-BO-10003034,4939,CA-2014-157147,1/13/2014,1/18/2014,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish","333.999,00",3,0.15,"2.700.665,00",
13.01.2014,2014-Q1,OFF-AR-10003514,4940,CA-2014-157147,1/13/2014,1/18/2014,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,4009 Highlighters by Sanford,"46.284,00",5,0,"6.567,00",
13.01.2014,2014-Q1,OFF-PA-10002947,9629,CA-2014-118192,1/13/2014,1/18/2014,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Paper,Xerox 1923,"37.408,00",7,0.2,"130.928,00",
13.01.2014,2014-Q1,OFF-BI-10003476,9630,CA-2014-118192,1/13/2014,1/18/2014,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Binders,Avery Metallic Poly Binders,"3.438,00",2,0.7,"-25.212,00",
14.01.2014,2014-Q1,FUR-BO-10003433,6475,CA-2014-149524,1/14/2014,1/15/2014,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,"-532.856,00",
15.01.2014,2014-Q1,TEC-AC-10003628,1914,CA-2014-103366,1/15/2014,1/17/2014,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0,"65.978,00",
16.01.2014,2014-Q1,FUR-FU-10001095,971,CA-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,"127.104,00",6,0.2,"285.984,00",
16.01.2014,2014-Q1,TEC-PH-10004614,972,CA-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,AT&T 841000 Phone,124.2,3,0.4,-31.05,
16.01.2014,2014-Q1,OFF-BI-10001575,973,CA-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,GBC Linen Binding Covers,"18.588,00",2,0.7,"-136.312,00",
16.01.2014,2014-Q1,OFF-LA-10001074,974,CA-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Labels,Round Specialty Laser Printer Labels,"30.072,00",3,0.2,"-148.378,00",
18.01.2014,2014-Q1,OFF-AP-10000692,5365,CA-2014-123477,1/18/2014,1/21/2014,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,"64.864,00",4,0.2,"1.082.733,00",
19.01.2014,2014-Q1,OFF-BI-10003676,5463,CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,"-23.716,00",
19.01.2014,2014-Q1,OFF-PA-10000659,5464,CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page","56.064,00",4,0.2,"196.224,00",
19.01.2014,2014-Q1,OFF-EN-10002504,5465,CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,"36.693,00",
19.01.2014,2014-Q1,FUR-BO-10001972,5466,CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,"-320.597,00",
